GDP,GDP - per capita,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%)
2903000000.0,900.0,21.8,5.9,7200.0,100000.0,10600.0,5051000000.0,
37480000000.0,6700.0,4.9,0.3,,10000.0,83200.0,7224000000.0,
825000000.0,25000.0,11.0,,,,250.0,917300000.0,
45230000000.0,12500.0,6.6,0.1,200.0,1300.0,77148.0,11020000000.0,12.0
27270000000.0,58900.0,2.3,0.2,100.0,500.0,5210.0,16300000000.0,2.9
9100000000.0,19400.0,15.6,,,,341.0,2760000000.0,
14400000000.0,7100.0,1.3,0.1,100.0,200.0,8684.0,2677000000.0,0.0
14560000000.0,800.0,5.5,1.7,7500.0,140000.0,49827.0,1147000000.0,3.0
7410000000.0,600.0,4.0,14.2,84000.0,900000.0,28400.0,521100000.0,1.4
229300000000.0,9700.0,7.1,0.4,2000.0,52000.0,65877.0,99300000000.0,10.2
1250000000.0,3900.0,2.3,0.1,,100.0,,392000000.0,4.4
11000000000.0,900.0,4.0,1.9,12000.0,140000.0,15100.0,927000000.0,
7223000000.0,18200.0,1.0,0.2,100.0,500.0,2222.0,3407000000.0,
2113000000.0,28500.0,,,,,800.0,,3.2
115000000.0,1600.0,1.0,,,,65.0,54000000.0,
6117000000.0,14400.0,,,,,2105.0,2000000000.0,
5534000000.0,1800.0,3.0,0.6,,9500.0,7660.0,860000000.0,2.0
15680000000.0,12800.0,4.7,0.1,100.0,700.0,2000.0,2245000000.0,8.0
466800000.0,2600.0,,,,,93.0,141300000.0,
1006000000000.0,9600.0,4.1,0.3,5000.0,160000.0,329532.0,190800000000.0,3.8
277000000.0,2000.0,1.0,,,,240.0,149000000.0,
,,,,,,,,
8581000000.0,1900.0,6.8,0.2,300.0,5500.0,12719.0,1830000000.0,17.0
870000000.0,27000.0,0.9,,,,50.0,,
5332000000.0,1900.0,10.6,0.1,200.0,500.0,49256.0,1000000000.0,4.1
29000000.0,3400.0,-1.0,,,,227.0,17000000.0,
134600000000.0,4200.0,4.4,0.1,,15000.0,57694.0,15630000000.0,
23380000000.0,1200.0,8.2,12.2,110000.0,1300000.0,30400.0,972900000.0,3.4
14760000000.0,7300.0,4.8,21.3,16000.0,210000.0,42237.0,1473000000.0,
60000000.0,5000.0,,,,,30.0,19800000.0,
,,,,,,,,
39530000000.0,1500.0,3.0,0.5,3100.0,61000.0,13223.0,1419000000.0,8.7
481100000000.0,29500.0,1.2,0.2,100.0,19000.0,116500.0,252700000000.0,0.8
2450000000.0,11400.0,0.5,,,,600.0,2233000000.0,
3158000000.0,15000.0,,,,,5432.0,1007000000.0,-0.6
92510000000.0,23200.0,4.8,0.1,200.0,1400.0,92382.0,19770000000.0,5.9
12340000000.0,2300.0,4.0,0.2,,6400.0,18712.0,2020000000.0,4.4
9716000000.0,900.0,3.5,1.2,4800.0,70000.0,10100.0,400000000.0,
125700000000.0,1000.0,6.2,5.4,310000.0,3600000.0,194394.0,17140000000.0,1.8
7600000.0,3600.0,-0.3,,,,234.0,2380000.0,
,,,,,,80.0,17900000.0,
900000000.0,12500.0,,,,,362.0,,
183000000000.0,40000.0,3.3,0.1,100.0,2100.0,91852.0,45960000000.0,5.2
38090000000.0,13100.0,1.2,0.1,200.0,1300.0,34965.0,6373000000.0,-1.2
347300000000.0,2200.0,6.1,0.1,4900.0,74000.0,257683.0,14010000000.0,13.1
174000000.0,9000.0,1.0,,,,61.0,99000000.0,
,,,,,,,,
20570000000.0,6900.0,6.0,0.9,,16000.0,11643.0,7164000000.0,5.4
11990000000.0,2200.0,0.9,0.6,600.0,16000.0,19600.0,1353000000.0,
29930000000.0,4800.0,2.8,0.5,600.0,15000.0,29500.0,3330000000.0,0.0
155300000000.0,5600.0,4.5,0.5,4200.0,82000.0,78230.0,9600000000.0,5.2
430600000000.0,5000.0,5.9,0.1,500.0,9000.0,202124.0,37500000000.0,5.0
,,,,,,6.0,,
463000000000.0,12000.0,5.6,0.1,100.0,14000.0,364697.0,81610000000.0,10.0
188700000000.0,17900.0,1.1,0.4,1000.0,22000.0,17135.0,52100000000.0,1.1
68950000000.0,17700.0,2.7,,,7397.0,25328.0,29100000000.0,
19490000000.0,23200.0,8.7,0.09,,,1230.0,6150000000.0,10.0
4570000000.0,6000.0,2.5,,,,1214.0,2500000000.0,
171500000000.0,7700.0,8.1,0.1,350.0,6500.0,198755.0,28430000000.0,4.0
1408000000000.0,9800.0,6.7,1.1,9000.0,860000.0,537289.0,92910000000.0,6.4
10430000000.0,1300.0,0.9,5.1,22000.0,250000.0,12000.0,260000000.0,7.0
18000000.0,2500.0,,,,,198.0,42000000.0,
339000000.0,8800.0,-1.9,,,,320.0,195000000.0,
866000000.0,5400.0,3.3,,,,1210.0,267000000.0,-8.9
48300000.0,7000.0,,,,,114.0,106000000.0,
342000000.0,2900.0,0.7,,,,829.0,174000000.0,-0.9
1000000000.0,5600.0,5.0,,3.0,12.0,790.0,113000000.0,2.8
940000000.0,34600.0,7.5,,,,220.0,,6.0
214000000.0,1200.0,6.0,,,,320.0,41000000.0,
310200000000.0,12000.0,5.0,0.01,,,152044.0,36210000000.0,2.8
18360000000.0,1700.0,3.2,0.8,3500.0,44000.0,14576.0,2128000000.0,4.7
26270000000.0,2400.0,6.5,0.2,100.0,10000.0,45290.0,9538000000.0,1.7
626000000.0,7800.0,1.5,,,,373.0,393400000.0,
3335000000.0,600.0,6.0,7.0,11000.0,170000.0,11300.0,264000000.0,
120900000000.0,27800.0,8.1,0.2,200.0,4100.0,3130.0,155200000000.0,11.1
78890000000.0,14500.0,5.3,0.1,100.0,200.0,42970.0,29670000000.0,5.1
39410000000.0,19600.0,3.9,0.1,100.0,280.0,20250.0,16070000000.0,3.9
800000000.0,1700.0,5.8,,,,1360.0,67000000.0,
4597000000.0,600.0,2.8,1.0,,43000.0,22100.0,344000000.0,
491400000000.0,11100.0,3.5,21.5,370000.0,5300000.0,275971.0,39420000000.0,5.5
,,,,,,,,
937600000000.0,23300.0,2.6,0.7,1000.0,140000.0,664852.0,222000000000.0,3.0
,,,,,,,,
80580000000.0,4000.0,5.2,0.1,200.0,3500.0,11650.0,7265000000.0,7.1
76190000000.0,1900.0,6.4,2.3,23000.0,400000.0,11900.0,3496000000.0,8.5
1885000000.0,4300.0,4.2,1.7,500.0,5200.0,4492.0,604000000.0,6.5
,,,0.0,0.0,0.0,,,
6018000000.0,5100.0,2.5,38.8,17000.0,220000.0,3107.0,1140000000.0,3.7
255400000000.0,28400.0,3.6,0.1,100.0,3600.0,213237.0,97970000000.0,5.5
251900000000.0,33800.0,1.8,0.4,100.0,13000.0,71212.0,121100000000.0,4.7
60440000000.0,3400.0,2.3,0.1,200.0,500.0,45697.0,5042000000.0,7.0
576200000000.0,25300.0,6.0,,,,37299.0,165400000000.0,12.2
7950000000.0,1100.0,10.5,0.1,100.0,200.0,27767.0,1300000000.0,8.2
23710000000.0,700.0,5.8,8.8,160000.0,1600000.0,88200.0,1972000000.0,8.4
524800000000.0,8100.0,6.1,1.5,58000.0,570000.0,57403.0,80840000000.0,8.5
8684000000.0,1600.0,3.0,4.1,10000.0,110000.0,7520.0,824900000.0,
1500000.0,1000.0,,,,,,323000.0,
244000000.0,2300.0,1.5,,,,680.0,86000000.0,8.6
11480000000.0,10500.0,5.7,3.2,1900.0,29000.0,8320.0,4650000000.0,7.2
,,,,,,,,
70880000000.0,7100.0,5.1,0.1,200.0,1000.0,18997.0,11520000000.0,4.4
508700000000.0,7400.0,8.2,0.1,,,354421.0,94500000000.0,16.5
27600000000.0,5700.0,7.5,0.1,100.0,200.0,24000.0,2850000000.0,22.0
216000000.0,11500.0,4.9,,,,121.0,175600000.0,
12200000.0,1100.0,3.0,,,,8.0,79000000.0,
39390000000.0,1500.0,5.0,4.1,78000.0,530000.0,27000.0,1306000000.0,5.6
299100000000.0,6300.0,12.0,1.4,20000.0,360000.0,169679.0,31450000000.0,16.5
63670000000.0,25200.0,5.7,0.18,,,1088.0,45660000000.0,4.0
1782000000000.0,29600.0,3.2,0.2,500.0,51000.0,392931.0,439400000000.0,0.9
11750000000000.0,40100.0,4.4,0.6,14000.0,950000.0,6393603.0,1476000000000.0,4.4
49270000000.0,14500.0,10.2,0.3,500.0,6000.0,8983.0,2071000000.0,22.0
47590000000.0,1800.0,4.4,0.1,500.0,11000.0,81600.0,2820000000.0,6.2
580000000.0,2900.0,1.1,,,,1070.0,138000000.0,1.0
145200000000.0,5800.0,16.8,0.7,4100.0,110000.0,96155.0,14980000000.0,12.3
227200000000.0,2700.0,7.7,0.4,9000.0,220000.0,93300.0,26310000000.0,16.0
2500000000.0,17200.0,2.0,,,,1257.0,,
,,,,,,,,
60000000.0,3800.0,,,,,120.0,300000.0,
1800000000.0,800.0,6.0,,,,4500.0,1500000000.0,
,,,,,,6200.0,,
16250000000.0,800.0,1.9,0.1,,12000.0,67000.0,3734000000.0,3.0
9409000000.0,900.0,4.6,16.5,89000.0,920000.0,91440.0,1519000000.0,6.9
24370000000.0,1900.0,-8.2,24.6,170000.0,1800000.0,18338.0,1599000000.0,-7.8
