Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%)
40.42,11.5,11984.0,150000.0,17.1,1360000.0,65.18,8700000.0,0.4
5.43,1.9,533.0,16000.0,,30540.0,79.57,,
53.79,11.0,1000.0,220000.0,,1488000.0,64.52,23100000.0,2.2
7.35,2.6,,,,4521.0,78.71,,
41.62,2.1,3627.0,800000.0,22.4,11020000.0,70.66,2305600000.0,5.0
130.79,12.8,3249.0,50000.0,47.0,9200000.0,40.32,117300000.0,2.2
48.98,4.2,3164.0,65000.0,19.6,840000.0,43.93,168400000.0,3.1
9.95,-3.6,,300.0,,,62.73,,
,,,,,,,,
66.98,2.9,917.0,80000.0,,10000000.0,59.8,99200000.0,1.5
5.04,1.4,4518226.0,8500000.0,19.9,7530000.0,78.81,9408000000.0,1.6
10.03,2.1,119.0,2000.0,,89000.0,75.83,,
7.72,-0.6,4449.0,60000.0,,79400.0,74.04,,
5.85,2.4,474395.0,2110000.0,22.4,2050000.0,78.66,1147000000.0,1.0
29.11,9.3,7094.0,90000.0,28.0,1930000.0,70.33,32800000.0,0.7
121.69,3.0,134.0,15000.0,,70000.0,42.13,33300000.0,1.1
98.8,16.5,1142.0,750000.0,18.0,55670000.0,46.74,544600000.0,0.8
,1.0,,,,,,,
,,,700.0,,1345.0,,,
7.11,1.2,,,,6006.0,75.88,,
3.7,1.0,593850.0,2288000.0,17.5,2380000.0,79.4,4033500000.0,1.9
19.51,0.2,726.0,180000.0,13.5,920000.0,73.13,252990000.0,11.4
72.44,4.8,15124.0,1500000.0,16.4,45430000.0,63.0,3848000000.0,4.9
14.84,3.4,,,,9845.0,70.14,,
,,,,,,,,
20.47,2.0,7129.0,120000.0,25.0,1320000.0,71.94,147000000.0,1.1
51.45,4.2,389.0,75000.0,13.6,3320000.0,64.93,16900000.0,1.4
25.63,5.1,9243.0,120000.0,18.1,2660000.0,74.89,53100000.0,0.9
31.94,3.8,65868.0,2850000.0,17.8,11000000.0,69.53,829300000.0,1.4
23.51,5.5,38440.0,3500000.0,17.0,35860000.0,69.91,805500000.0,1.0
,,,,,15.0,,,
8.51,3.4,804915.0,8970000.0,18.4,17020000.0,74.41,3500000000.0,1.71
5.05,2.1,346078.0,3600000.0,22.3,5480000.0,77.53,3497800000.0,2.3
8.24,6.5,,600000.0,,1300000.0,77.62,,
18.61,3.0,221.0,126000.0,22.9,140000.0,73.67,723000000.0,10.0
7.78,,,150000.0,,309900.0,73.95,,
26.43,9.6,50807.0,4000000.0,23.3,9660000.0,71.35,985000000.0,2.47
15.39,11.5,560874.0,6000000.0,19.1,71830000.0,67.1,,
91.23,7.0,1495.0,25000.0,20.0,4600000.0,46.96,50100000.0,3.2
19.0,3.2,,500.0,,3500.0,77.76,,
14.49,1.7,51.0,10000.0,,18170.0,72.15,,
13.53,3.0,41.0,13000.0,,43800.0,73.61,,
7.54,2.1,,,,3261.0,78.46,,
14.78,-0.4,4.0,7000.0,,67000.0,73.62,,
27.71,4.0,8225.0,4000.0,,90000.0,70.72,,
5.73,3.3,1763.0,14300.0,,18500.0,81.62,700000.0,
43.11,14.0,1069.0,15000.0,31.5,,66.99,700000.0,0.8
13.24,0.8,15931.0,1500000.0,17.2,6620000.0,75.46,18000000000.0,10.0
55.51,0.8,672.0,225000.0,20.1,4650000.0,56.75,107300000.0,1.5
12.89,8.8,20207.0,847000.0,14.4,3200000.0,74.73,654000000.0,
15.53,5.0,264.0,11700.0,39.5,30900.0,71.82,12300000.0,1.8
143.64,1.0,277.0,8000.0,,1369000.0,42.52,13200000.0,1.7
2.29,1.7,484825.0,2310000.0,27.4,2180000.0,81.62,4470000000.0,4.9
7.41,7.5,89592.0,1375800.0,24.0,2200000.0,74.5,406000000.0,1.89
4.45,3.3,45491.0,750000.0,24.9,870000.0,76.14,370000000.0,1.7
21.29,10.0,398.0,2200.0,,26840.0,72.66,,
116.7,,4.0,89000.0,,3700000.0,48.09,18900000.0,0.9
61.81,4.5,288633.0,3100000.0,16.7,16630000.0,43.27,3172000000.0,1.5
,,,,,,,,
4.42,3.2,1056950.0,9789000.0,25.4,19330000.0,79.52,9906500000.0,1.2
,,,,,,,,
14.35,5.8,1882.0,200000.0,22.4,7260000.0,73.17,514800000.0,2.6
62.5,9.0,,300000.0,16.0,11000000.0,58.54,587000000.0,3.0
23.57,23.0,18.0,20000.0,,104000.0,68.96,7500000.0,0.7
,,,,,,,,
69.27,5.4,1401.0,27000.0,23.6,383200.0,35.65,40500000.0,1.4
2.77,0.7,945221.0,5125000.0,15.8,4460000.0,80.4,5729000000.0,1.7
4.39,0.9,667275.0,2556000.0,20.4,3770000.0,80.39,2548000000.0,1.0
29.53,2.1,11.0,220000.0,16.3,5120000.0,70.03,858000000.0,5.9
6.4,1.7,2777085.0,13800000.0,18.0,10220000.0,77.26,7574000000.0,2.6
110.76,8.0,69.0,4100.0,22.0,3187000.0,64.56,35400000.0,3.9
98.54,5.4,5534.0,250000.0,16.2,19000000.0,45.24,20600000.0,0.2
20.48,2.8,103700.0,6971500.0,22.5,36430000.0,71.57,1775000000.0,1.8
66.61,1.0,82.0,210000.0,19.1,1740000.0,52.64,35500000.0,1.9
,,,,,,,,
12.62,10.3,18906.0,2900.0,,33910.0,69.53,,
24.31,3.3,8003.0,138000.0,19.4,590000.0,68.91,66700000.0,0.6
,,,,,,,,
24.77,4.1,281.0,630000.0,24.5,3550000.0,74.89,356000000.0,1.5
41.04,9.3,355215.0,5500000.0,17.3,25300000.0,72.36,12155000000.0,5.3
73.08,9.0,524.0,8000.0,29.0,2320000.0,61.39,90000000.0,3.4
15.67,4.0,,,,4848.0,74.51,,
20.03,5.0,,1300.0,,7000.0,68.01,,
67.83,3.5,2692.0,125000.0,22.4,12410000.0,51.59,170300000.0,2.2
20.34,12.0,94345.0,3800000.0,18.8,21110000.0,66.85,617900000.0,1.4
14.51,3.2,56283.0,1110200.0,20.8,2360000.0,75.24,1600000000.0,3.1
5.16,1.4,3398708.0,25000000.0,16.2,29780000.0,78.38,42836500000.0,2.4
6.5,2.5,115311958.0,159000000.0,15.7,147400000.0,77.71,370700000000.0,3.3
11.95,7.6,87630.0,400000.0,9.6,1560000.0,76.13,257500000.0,2.0
71.1,3.0,1040.0,492000.0,,14640000.0,64.19,200000000.0,2.0
55.16,3.1,512.0,7500.0,,,62.49,,
22.2,22.4,35301.0,1274400.0,12.9,12250000.0,74.31,1687000000.0,1.5
25.95,9.5,340.0,3500000.0,36.6,42980000.0,70.61,650000000.0,2.5
8.03,2.2,,30000.0,,48900.0,78.91,,
,,,,,,,,
,,,900.0,,,,,
19.62,2.2,,145000.0,,364000.0,73.08,,
,,,,,12000.0,,,
61.5,12.2,138.0,100000.0,16.1,5980000.0,61.75,885500000.0,7.8
88.29,18.3,1880.0,68200.0,41.4,4630000.0,39.7,106800000.0,1.8
67.69,133.0,4501.0,500000.0,9.9,4230000.0,36.67,217000000.0,4.3
