Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
,33829590.0,74.3,2778.0,1500000000.0,328400.0,1590800.0,4.96,40.0
,,,,,,,,
,103092.0,,,,4500.0,500.0,4.2,2.0
,22912177.0,,5214.0,,1100000.0,,2.15,
,48422644.0,21.3,3125.0,199100000000.0,22877000.0,33591800.0,1.26,3.6
96500000000.0,2335648.0,29.6,,7333000000.0,486900.0,1420000.0,2.97,2.2
,5146281.0,,470.0,498700000.0,394800.0,53100.0,2.7,18.0
,6217141.0,,,193100000.0,61900.0,55200.0,4.77,5.7
,2290237.0,11.8,2303.0,1650000000.0,653900.0,1219600.0,1.26,8.8
,3826018.0,177.9,401.0,16300000000.0,678800.0,775100.0,1.92,18.0
,1867035.0,,,402200000.0,28600.0,92000.0,3.35,45.0
,3482211.0,,490.0,,7000.0,2000.0,6.09,85.0
38000000000.0,5765563.0,8.8,,24180000000.0,750000.0,100000.0,3.34,30.0
,33717.0,,,,19900.0,11400.0,1.51,1.3
,3596617.0,25.2,1998.0,4610000000.0,824200.0,2169900.0,1.19,8.0
,468571.0,,274.0,,355400.0,473000.0,1.79,4.5
,449198.0,,,,174600.0,364000.0,0.93,4.7
,2045262.0,20.0,699.0,928000000.0,560000.0,365300.0,1.57,37.7
0.0,18040341.0,,732.0,500300000.0,59600.0,279500.0,5.66,
,12158924.0,228.3,797.0,160500000.0,85000.0,135100.0,5.98,
3200000000.0,23953136.0,45.4,2418.0,55270000000.0,4571600.0,11124100.0,3.07,3.0
,349106.0,,,,28700.0,41900.0,5.02,
,12291529.0,,729.0,,56600.0,250000.0,6.5,5.3
,398534.0,,,2865000000.0,208300.0,290000.0,1.5,7.0
,75049.0,,61.0,,51000.0,,1.65,0.6
,59071.0,,,,4500.0,600.0,3.93,30.9
,432900.0,,,,172000.0,319900.0,1.79,27.2
,3086859.0,,,,31500.0,300000.0,5.94,20.0
